msa_depth_threshold,eval_set,stem,msa_depth
10,eval-denovo,5sbj_A,2
10,eval-denovo,7ur7_A,2
10,eval-denovo,8ah9_A,8
10,eval-denovo,8eov_A,2
10,eval-denovo,8fjf_A,2
10,eval-denovo,8gac_A,2
10,eval-denovo,8ju8_A,2
10,eval-denovo,8k7z_A,2
10,eval-denovo,8k83_A,2
10,eval-denovo,8ka7_A,2
10,eval-denovo,8kcj_A,2
10,eval-denovo,8oys_A,2
10,eval-denovo,8oyy_A,2
10,eval-denovo,8qkd_A,2
10,eval-denovo,8vc8_A,2
100,eval-denovo,5sbj_A,2
100,eval-denovo,7ur7_A,2
100,eval-denovo,8ah9_A,8
100,eval-denovo,8eov_A,2
100,eval-denovo,8fjf_A,2
100,eval-denovo,8gac_A,2
100,eval-denovo,8ju8_A,2
100,eval-denovo,8k7o_A,64
100,eval-denovo,8k7z_A,2
100,eval-denovo,8k83_A,2
100,eval-denovo,8ka7_A,2
100,eval-denovo,8kcj_A,2
100,eval-denovo,8oys_A,2
100,eval-denovo,8oyy_A,2
100,eval-denovo,8qkd_A,2
100,eval-denovo,8vc8_A,2
100,eval-val,7xcd_A,22
100,eval-val,7xp9_A,14
100,eval-val,8adc_A,37
100,eval-val,8eb9_A,25
100,eval-val,8ec3_A,26
